content_id,author,write_time,comment_id,comment_content
https://orbi.kr/00012959115,NoMoreDream,17/08/23 23:59,577314,"이,,,이,,,..,.잇! 쓰...쓰쓸떼레기 읍는걸 하고있어! 이 학생이 말이얏 엇!
아..아으니? 이..이게 나..나라고? 멈멈머머머멈 ㅓ머라고?"
https://orbi.kr/00012959115,Luy8JqTCgnO0Bh,17/08/23 23:59,759333,ㅋㅋㅋㅋ ㄹㅇ 음성지원
https://orbi.kr/00012959115,모모맛복숭아,17/08/24 00:00,668248,
https://orbi.kr/00012959115,상태안좋음,17/08/24 00:03,733354,.
https://orbi.kr/00012959115,모모맛복숭아,17/08/24 00:06,668248,와우
https://orbi.kr/00012959115,Goat Ki Bum,17/08/24 00:21,756323,뭐뭐뭑뭐 어쩌라고?
https://orbi.kr/00012959115,정연,17/08/24 00:35,612095,옛날에 포x한에서 발견되셨어요
https://orbi.kr/00012959115,Luy8JqTCgnO0Bh,17/08/24 00:36,759333,자기사진이 돌아다닌다는걸알까요?ㅠㅠ
https://orbi.kr/00012959115,정연,17/08/24 00:36,612095,유명한건 아실것 같아요 ㅋㅋㅋㅋㅋ
https://orbi.kr/00012962416,도희,17/08/24 17:07,495790,강옯은 질문조교님들 싹다 sky의치한 정시러들이라 진짜 어려운킬러도 기출이면 이미 풀어보신거라면서 다풀어주시는데 비교되네염...
https://orbi.kr/00012962416,호빵이,17/08/24 17:13,682459,"오르비 가야하나 ㅜㅜ
으아 고민되네요  ㅜ"
https://orbi.kr/00012962416,이린님,17/08/25 01:32,719422,강옯도 조심하시는게 좋아요ㅎㅎ(질문조교님들은 좋은 편 입니다)
https://orbi.kr/00012962416,보건환경융합과학부,17/08/24 19:04,752145,세상좋네 ㅎㅎ  저런 쓰레기들도 살아가다니 
https://orbi.kr/00012962416,호빵이,17/08/24 23:16,682459,대신 답변 감사드립니다!
https://orbi.kr/00012962416,진또배기,17/08/24 19:26,612015,힝 지금개념강의듣는데 수능잘볼게여 ㅋㅋㅋㅋ 인천사는데 저런데도있구나...힘내세요... 독재 10가능
https://orbi.kr/00012962416,호빵이,17/08/24 23:16,682459,그분이랑 다르죠 80일의 기적 보여주세요!
https://orbi.kr/00012962416,시머재종버스로의대,17/08/24 19:31,758156,회원에 의해 삭제된 글입니다.
https://orbi.kr/00012962416,시머재종버스로의대,17/08/24 19:32,758156,회원에 의해 삭제된 글입니다.
https://orbi.kr/00012962416,99일 전사,17/08/24 19:52,695174,"그거 딱봐도 학생이 뒷조사 한게 아니라 선생이 한거거나 학원 알바생이 캐고다닌거네요~~~ㅋㅋㅋㅋㅋ
 지들이 했다고하면 법에 저촉될지도 모르고 뭔가 캥기니까~~"
https://orbi.kr/00012962416,호빵이,17/08/24 23:17,682459,"그 학생이 저한테 전화했더라구요.
그래서 허위 사실 유포 및 신상조사에 대해서 말해줬죠 ㅎㅎ"
https://orbi.kr/00012962416,2018정시생,17/08/24 22:40,634014,학생이 댓글 180개를 왜 찾아봤는지가 더 궁금해지네요 ㅋㅋㅋ
https://orbi.kr/00012962416,호빵이,17/08/24 23:18,682459,"그러게나 말이에요 ㅎㅎ
저 포만한에서 글도 남기기 싫어서 다음날에 지우는 스타일인데 댓글까지 찾으시네요!"
https://orbi.kr/00012962416,반슈생,17/08/24 22:52,533005,전 진작에 나왔어요ㅎ.. 독서실 세상 마음편하게 다니고 있어요 핳
https://orbi.kr/00012962416,호빵이,17/08/24 23:18,682459,독서실 개꿀!!!
https://orbi.kr/00012962416,솜솜,17/08/24 23:09,757104,아 우리 독재랑 뭔가 조옹ㅎ오오오오오온나 비슷하네여..
https://orbi.kr/00012962416,호빵이,17/08/24 23:18,682459,그럼 나오시는 편이 ㅜㅠ
https://orbi.kr/00012962416,솜솜,17/08/24 23:19,757104,갈데가 없어요.. 짐 빼기도 귀찮고 지금 옮기는건 넘 위험한것 같아서용 ㅠㅠ
https://orbi.kr/00012962416,호빵이,17/08/24 23:22,682459,그런것도 있는데 40씩주고 관리 못받을 바에는 ㅜ
https://orbi.kr/00012962416,xxxtentacion,17/08/24 23:22,756422,"거의 돈떼먹는게
동네학원수준이늬ㅣ"
https://orbi.kr/00012962416,호빵이,17/08/24 23:22,682459,동네 학원보다 심하면 심하지 덜하진 않았어요!!
https://orbi.kr/00012962416,모모맛복숭아,17/08/24 23:33,668248,중앙엘엔씨요?
https://orbi.kr/00012962416,호빵이,17/08/24 23:34,682459,읍읍
https://orbi.kr/00012962416,L. Story,17/08/25 09:40,647037,ㅂㅈ
https://orbi.kr/00012962416,미뉴리얼,17/08/24 23:36,691703,널린게 독재학원인데.. 왜 안나가셧어요 ㅋㅋ
https://orbi.kr/00012962416,호빵이,17/08/24 23:38,682459,그냥 독서실 다닌다고 생각하고 다녔어요
https://orbi.kr/00012962416,표본평균의표준편차,17/08/24 23:43,693592,힘내세요 수험생은 본인이 최우선이에요 조금은 이기적이어도 괜찮다고 생각해요 화이팅
https://orbi.kr/00012962416,호빵이,17/08/24 23:49,682459,감사합니다 ㅜㅜ
https://orbi.kr/00012962416,Staysee,17/08/24 23:46,687039,대체 무슨생각을 하면서 살까요..
https://orbi.kr/00012962416,호빵이,17/08/24 23:49,682459,그러게나 말이에여 ㅜ
https://orbi.kr/00012962416,자유주의,17/08/25 01:12,718925,저도 독재학원 다닐때 학원쌤들한테 아이디 들켜서 사찰당하고 아이디 새로팜ㅋㅋ
https://orbi.kr/00012962416,레모네이드,17/08/25 01:46,704446,학원이 가운데 L과C 맞나요?
https://orbi.kr/00012962416,교대가쟈,17/08/25 07:49,686094,공부하느라힘드실텐데 스트레스 더받으셨겠다ㅠㅜ 화이팅하시구 남은기간도 열심히하셔서 좋은결과있으셨음좋겠어요!
https://orbi.kr/00012962416,노인코래방,17/08/25 13:37,742923,회원에 의해 삭제된 글입니다.
https://orbi.kr/00012962416,리서뇽,17/08/25 14:34,548684,저도 작년에 상동오르비 망하고 부천 거기 다녔는데 부천은 꽤 괜춘하던뎅.. 지점마다 다른가보네욥
https://orbi.kr/00012962416,잉여의난,17/08/25 15:26,706198,청라 ㅇㅌㅅ 오세요.. 여기 좋아요
https://orbi.kr/00012962416,Polaire,17/08/26 01:36,423493,쪽지 확인 좀 부탁드려요!!
