key,title,author,write_time,content
https://orbi.kr/00015485804,한석원쌤 그짤 어디있나요 ㅠㅠ,"
고참볶음밥
", 2018-01-17 04:56:59,"
ㅠㅠ 너무 급해요 새벽에 너무 보고싶어짐
"
https://orbi.kr/00015480718,삼수생 수학 인강 추천좀 해주세요ㅠㅠ,"
19의대생
", 2018-01-17 01:44:14,"
 재수 6월 9월 1등급 (둘다 96) 수능 2등급(88) 삼수예정인데요ㅠㅠ 제가 인강을 한번도 안들어봐서ㅠㅠ 아예 커리같은거 몰라서 질문올려요 확통+미적 : 현우진 기벡:한석원 으로 커리 타려고 하는데요 현우진쌤이 시발점->뉴런+수분감->드릴->킬캠 순서시고 한석원쌤이 생각의 질서->알파테크닉->크리티컬포인트->빡모순서라고 하시더라구요 근데 시발점과 생각의 질서가 완전 기초강의라고들 하시던데 그걸 안듣고 넘어가도 알아들을수있나요?? 박상현쌤 즉각반응 모르고 모의고사인강들었다가 멘붕당한적이있어서ㅠㅠ
"
https://orbi.kr/00015471408,한석원t 자주하는 말 중에,"
deantrbl
", 2018-01-16 22:02:55,"
헤이 베이비~ 이거 원래 했음?어제 현강에서 그 말 듣고 ㄹㅇ 충공깽...
"
https://orbi.kr/00015468787,한석원 생질,"
psyerine
", 2018-01-16 20:00:21,"
개념만 듣고 혼자 문제풀이한뒤에 모르는문제만 골라서 풀이듣는 식으로 하는데 괜찮나요??
"
https://orbi.kr/00015447045,강욱쌤 기벡 들어보신분?,"
강 슬 기
", 2018-01-16 00:47:58,"
단과 들으러 갈까 고민중인데..현우진 한석원 이런쌤들보다 더 낫나요?
"
https://orbi.kr/00015468787,한석원 생질,"
psyerine
", 2018-01-16 20:00:21,"
개념만 듣고 혼자 문제풀이한뒤에 모르는문제만 골라서 풀이듣는 식으로 하는데 괜찮나요??
"
https://orbi.kr/00015447045,강욱쌤 기벡 들어보신분?,"
강 슬 기
", 2018-01-16 00:47:58,"
단과 들으러 갈까 고민중인데..현우진 한석원 이런쌤들보다 더 낫나요?
"
https://orbi.kr/00015437748,작년만해도 현t 빡t 막상막하였는데,"
망고스무디!
", 2018-01-15 19:42:07,"
작년 이맘때에는 투표 결과가 현우진t하고 한석원t가 비슷했던걸로 기억하는데이제는 현우진t 압승이네요ㄷㄷ
"
https://orbi.kr/00015436439,인강 처음 들을때는,"
망고스무디!
", 2018-01-15 18:43:07,"
그냥 1타강사 듣는게 무난하지 않음..?현우진t나 한석원t..듣다가 안 맞아서 다른 선생님으로 갈아타는 경우는 있을 수 있어도굳이 처음부터 2타 이하 선생님 강의를 들을 이유는 없는거 같음
"
https://orbi.kr/00015430124,이과노베 대성패스 메가패스 겁나고민되네요...,"
Vetimus
", 2018-01-15 13:55:25,"
둘다오늘마감인데..물론메가는 또연장하겠지만너무고민되네요 전반적으로는 대성쌤들이더 강세인거같고 한석원쌤ㅁ 현우진쌤 둘다맛보기들어봤는데 둘다괜찮고..메가는 환급잘해줘서 끌리고.. 이다지쌤도 예쁘고..ㅋㅋ고민이네요 ㅜ20대중반 독학장수생이라 공부할 시간은많습니다..만둘다살 돈은 없습니다 ㅜ
"
https://orbi.kr/00015414711,인강고민좀요ㅠ,"
어누노녀냐맘
", 2018-01-14 23:23:49,"
17수능보고 1년 대학 다니다가 이번에 19수능 보려고 합니다.수학은 현역때 신승범 (미적,확통), 한석원(기벡) 보고 고정1 나왔습니다. 고민이 현우진t평이 너무좋아서 갈아탈만큼 좋나요?? 개념부터 다시 들으려 하는데  신승범, 한석원, 이창무, 현우진t 중에 풀커리타기 좋은t 추천 해주세요ㅠ
"
https://orbi.kr/00015412330,이과 수학노베인데 한석원T 괜찮나요?? 대성프패생각중이에요,"
Vetmos
", 2018-01-14 22:07:20,"
20대중반 새로시작하려는장수생입니다...수학 개념서나 교과서 1독하고 인강쌤들 기초부터커리탈까생각중인데요 한석원쌤 노베도괜찮나요???대성프패 구매하려고하는데요..과탐도 제로에서 시작하는데 화1생1지1중에 하려고하거든요 과탐은 대성마이맥 괜찮은가요???국어는개념정도만 인강듣고 마닳돌릴거라 상관없고영어는 뭐 명학쌤이 워낙잘하시고..
"
https://orbi.kr/00015398444,한석원 알파테크닉 질문,"
유서기
", 2018-01-14 13:17:05,"
현우진 시발점 끝내고 바로 뉴런 들어가는건 오바라고 다들 그러길래 그 사이에 들을 강의를 찾고 있는데대성 메가 스듀 프패라서  삽자루 한석원이 눈에 들어오더라고요. 그래서 확통은 삽자루 레알수 듣고 미2 기벡은 한석원 알파테크닉 들을까 생각중인데 난이도 ㄱㅊ?
"
https://orbi.kr/00015386473,전년도 인강듣기 질문..,"
용간다
", 2018-01-14 01:04:30,"
예비고3인데요 제가 대성 프리패스를 끊었는데 한석원 제외더라구요.. 한석원 하나들으려고 끊었는데... 근데 2018년도 알파등등은 다 공짜라서 그러는데 전년도 인강들으면 뭔가 불리한 점 같은게 있나요?
"
