content_id,author,write_time,comment_id,comment_content
https://orbi.kr/00018005293,"

❄️찌르꼬❄️

 "," 9시간 전
                                ", 761141 ,"ㅅㅂ 학부모가 그걸 어떻게앎?

학부모도 공부하시나 개소름이네

그냥 어디서 주어들은 소리 아닐까요?"
https://orbi.kr/00018005293,"

설악산 산양

 "," 9시간 전
                                ", 821481 ,"저도 처음에는 그런 줄 알았는데, 얘기하시는 거 들어보니까 직접 강의 보시고 말씀하시는 거더라고요. "
https://orbi.kr/00018005293,"

❄️찌르꼬❄️

 "," 9시간 전
                                ", 761141 ,"ㄷㄷ
혹시 대치맘?"
https://orbi.kr/00018005293,"

설악산 산양

 "," 9시간 전
                                ", 821481 ,지방이에오 
https://orbi.kr/00018005293,"

애쓰지마

 "," 9시간 전
                                ", 729449 ,"갓취맘
갓취키드"
https://orbi.kr/00018004727,"

마산불도저

 "," 11시간 전
                                ", 823757 ,"신승범 , 한석원 들어봄
한석원 or  현우진 들으세요 "
https://orbi.kr/00018004727,"

상상더하기봉소

 "," 11시간 전
                                ", 573417 ,단호하시네요ㅋㅋ
https://orbi.kr/00018004727,"

소주

 "," 11시간 전
                                ", 761355 ,"신승범,현우진T 둘다 들어봤는데 신승범티는 실전적이지 않더라구요 "
https://orbi.kr/00018004727,"

얼굴이 못생겼는데 공부라도 잘해야지

 "," 11시간 전
                                ", 814000 ,"기벡만큼은 현우진
작년에 신승범. 현우진 둘다 들어보았어염"
https://orbi.kr/00018004727,"

패트와 매트

 "," 11시간 전
                                ", 746976 ,알바..
https://orbi.kr/00018004727,"

상상더하기봉소

 "," 11시간 전
                                ", 573417 ,알바아니거든요
https://orbi.kr/00018004727,"

애쓰지마

 "," 10시간 전
                                ", 729449 ,ㅎㅇㅈ
https://orbi.kr/00018004727,"

❄️찌르꼬❄️

 "," 10시간 전
                                ", 761141 ,상상더하기봉소는 바탕인가요?
https://orbi.kr/00018004727,"

싸구려수학

 "," 9시간 전
                                ", 821516 ,솔직히 기벡은 문제 보는 눈이 필요하니 신승범 보다는 현우진이나 한석원 추천
https://orbi.kr/00018004727,"

우진희.

 "," 7시간 전
                                ", 743357 ,요새 신승범 들으면 레어여서 간지남 신승범 ㄱㄱ
https://orbi.kr/00018004727,"

마마모

 "," 6시간 전
                                ", 430579 ,벡터는 ㄱㅊ
https://orbi.kr/00017998509,"

쌀과자

 "," 08/06 22:20
                                ", 766236 ,들린다들려
https://orbi.kr/00017998509,"

설수리수석희망

 "," 08/06 22:20
                                ", 805947 ,왈
https://orbi.kr/00017998509,"

Kaká

 "," 08/06 22:22
                                ", 819110 ,머머머머머멈머머ㅓ라고???
https://orbi.kr/00017998509,"

CashCash

 "," 08/06 22:22
                                ", 808086 ,오늘부터 목표 : 개
https://orbi.kr/00017998509,"

별 하나 ✨

 "," 08/06 22:22
                                ", 815493 ,문돌이:ㅅㅂ
https://orbi.kr/00017998509,"

못생기고부정적인사람

 "," 08/06 22:24
                                ", 741091 ,팩트) 문이과 통합으로 보면 의대덕에 쉬운 거 맞다
https://orbi.kr/00017998509,"

중독위험

 "," 08/06 22:24
                                ", 817343 ,???: 서울대 가기에는 100일은 너무 길다
https://orbi.kr/00017998509,"

우진희.

 "," 08/06 23:34
                                ", 743357 ,ㅋㅋㅋㅋㅋ 한석원 ㄱㅁ했네
https://orbi.kr/00017990884,"

쌀과자

 "," 08/06 00:25
                                ", 766236 ,진지함이 곧 유머.. 빡t 당신은... 머머리
https://orbi.kr/00017990884,"

꽥오리꽥

 "," 08/06 00:26
                                ", 747908 ,진지한이 곧 유머 = 윤도영
https://orbi.kr/00017978045,"

수입푸드

 "," 08/04 23:59
                                ", 823833 ,양가원 ㄱㅊ나여 평가원 4등급 노벤데
https://orbi.kr/00017978045,"

기코는진리

 "," 08/05 00:00
                                ", 635711 ,"작년기준 제 기억으로는 킬러는 헬이었고 준킬러급은 거의 없었어요.
근데 올해꺼 풀어본 친구 말 들어보면 비킬러도 빡세다네요"
https://orbi.kr/00017978045,"

수입푸드

 "," 08/05 00:02
                                ", 823833 ,양승진 미래형킬러가 2030년수능쯤에 나올만하다는데 맞ㅈ나요?
https://orbi.kr/00017978045,"

기코는진리

 "," 08/05 00:03
                                ", 635711 ,작년 수능 21번 양가원 적중이래요
https://orbi.kr/00017978045,"

수입푸드

 "," 08/05 00:04
                                ", 823833 ,"그거 작년 9회 30번인가 그렇고...
킬코에 있어욤 a+h'(2)였나하는 문제 (설명충 ㅈㅅ)"
https://orbi.kr/00017978045,"

오리온자리 1등성 리겔

 "," 08/05 00:00
                                ", 820525 ,어제 호형훈제 풀고 81 67 오늘 한석만 풀고 94나옴 어떻게생각하심
